ions	initial_conc(mol/m3)	charge	diffu_water(m2/s)
ace1n	0	-1	1.38E-09
aceh	0	0	1.64E-09
for1n	0	-1	1.84E-09
forh	0	0	1.79E-09
lac1n	0	-1	1.31E-09
lach	0	0	1.41E-09
pro1n	0	-1	1.20E-09
proh	0	0	1.34E-09
suc2n	0	-2	9.90E-10
suc1n	0	-1	1.10E-09
such	0	0	1.19E-09
hco31n	4.17	-1	1.50E-09
co2	0.93	0	2.43E-09
pho2n	2.06	-2	9.60E-10
pho1n	3.34	-1	1.22E-09
h1p	0.0001	1	1.18E-08
ca2p	1.32	2	0.000000001
cl1n	40.0	-1	2.57E-09
k1p	51.55	1	2.49E-09
o2	0.15	0	2.66E-09
glu	0.07	0	8.50E-10
eth	0	0	1.57E-09
f1n	1.0	-1	1.48E-09	
pgact	0	0	0
pgsta	0	0	0
pgstn	0	0	0
sh21p	0.0000359	1	0
sh	0.13	0	0
s1n	30.59	-1	0
sca1p	1.29	1	0
